population_cnv_id	chr	start	end	deletion_observations	deletion_frequency	deletion_standard_error	duplication_observations	duplication_frequency	duplication_standard_error	observations	frequency	standard_error	type	sample_size	study
247	1	6051388	6136920	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
248	1	6056168	6137733	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
249	1	6064750	6065630	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
250	1	6064788	6066828	0	0	1	18	0.45	0.174801475	18	0.45	0.174801475	1	40	42Mcalls
251	1	6066020	6066911	0	0	1	9	0.225	0.293446948	9	0.225	0.293446948	1	40	42Mcalls
252	1	6166718	6169303	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
253	1	6267585	6269082	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
254	1	6268925	6269082	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
255	1	6269420	6269493	3	0.003550296	0.576324476	6	0.007100592	0.406796306	9	0.010650888	0.331553433	0	845	DDD
256	1	6314822	6364371	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
257	1	6366319	6368893	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
258	1	6403048	6577424	1	0.000168947	0.999915523	0	0	1	1	0.000168947	0.999915523	-1	5919	Affy6
259	1	6434849	6445837	38	0.020084567	0.160584085	0	0	1	38	0.020084567	0.160584085	-1	1892	1Gdelgenotyped
260	1	6438194	6445835	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
261	1	6438194	6445835	9	0.02	0.329983165	0	0	1	9	0.02	0.329983165	-1	450	42Mgenotyped
262	1	6438227	6445843	23	0.027218935	0.205657066	0	0	1	23	0.027218935	0.205657066	-1	845	DDD
263	1	6458636	6459610	94	0.049682875	0.100547286	0	0	1	94	0.049682875	0.100547286	-1	1892	1Gdelgenotyped
264	1	6458853	6459551	2	0.05	0.689202438	0	0	1	2	0.05	0.689202438	-1	40	42Mcalls
265	1	6458853	6459551	29	0.064444444	0.179612183	0	0	1	29	0.064444444	0.179612183	-1	450	42Mgenotyped
266	1	6478143	6520845	2	0.05	0.689202438	1	0.025	0.987420883	3	0.075	0.555277708	0	40	42Mcalls
267	1	6479670	6479906	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
268	1	6481741	6515522	17	0.020118343	0.240083522	26	0.030769231	0.193075391	43	0.050887574	0.148567769	0	845	DDD
269	1	6495099	6501159	4	0.004733728	0.498815164	6	0.007100592	0.406796306	10	0.01183432	0.314351027	0	845	DDD
270	1	6498243	6508426	1	0.001183432	0.999408109	1	0.001183432	0.999408109	2	0.002366864	0.706269473	0	845	DDD
271	1	6501036	6501081	1	0.001183432	0.999408109	3	0.003550296	0.576324476	4	0.004733728	0.498815164	0	845	DDD
272	1	6501036	6501168	0	0	1	2	0.002366864	0.706269473	2	0.002366864	0.706269473	1	845	DDD
273	1	6504836	6505937	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
274	1	6511548	6514979	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
275	1	6512161	6514979	2	0.002366864	0.706269473	7	0.008284024	0.376395684	9	0.010650888	0.331553433	0	845	DDD
276	1	6530663	6531163	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
277	1	6557420	6557494	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
278	1	6579460	6602946	1	0.000168947	0.999915523	0	0	1	1	0.000168947	0.999915523	-1	5919	Affy6
279	1	6688472	7436746	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
280	1	6762343	6763696	50	0.026427061	0.139540169	0	0	1	50	0.026427061	0.139540169	-1	1892	1Gdelgenotyped
281	1	6762626	6763496	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
282	1	6762626	6763496	1	0.002222222	0.998888271	0	0	1	1	0.002222222	0.998888271	-1	450	42Mgenotyped
283	1	6784578	6828285	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
284	1	6787516	6793395	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
285	1	6791743	6793120	64	0.033826638	0.122867647	0	0	1	64	0.033826638	0.122867647	-1	1892	1Gdelgenotyped
286	1	6803492	6827352	0	0	1	2	0.000337895	0.706987307	2	0.000337895	0.706987307	1	5919	Affy6
287	1	6861345	6861918	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
288	1	6861345	6861918	1	0.002222222	0.998888271	0	0	1	1	0.002222222	0.998888271	-1	450	42Mgenotyped
289	1	7022697	7023518	2	0.05	0.689202438	0	0	1	2	0.05	0.689202438	-1	40	42Mcalls
290	1	7289314	7289739	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
291	1	7289694	7289739	5	0.00591716	0.445888515	2	0.002366864	0.706269473	7	0.008284024	0.376395684	0	845	DDD
292	1	7483023	7486286	22	0.011627907	0.211957553	0	0	1	22	0.011627907	0.211957553	-1	1892	1Gdelgenotyped
293	1	7569215	7571521	117	0.26	0.079528525	0	0	1	117	0.26	0.079528525	-1	450	42Mgenotyped
294	1	7569312	7571573	1	0.025	0.987420883	28	0.7	0.103509834	29	0.725	0.097379457	0	40	42Mcalls
295	1	7569804	7574649	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
296	1	7569889	7571158	143	0.169230769	0.076220568	0	0	1	143	0.169230769	0.076220568	-1	845	DDD
297	1	7570071	7571526	354	0.187103594	0.047919907	0	0	1	354	0.187103594	0.047919907	-1	1892	1Gdelgenotyped
298	1	7577658	7579878	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
299	1	7577658	7579878	5	0.011111111	0.444722135	0	0	1	5	0.011111111	0.444722135	-1	450	42Mgenotyped
300	1	7622465	7666987	1	0.000168947	0.999915523	0	0	1	1	0.000168947	0.999915523	-1	5919	Affy6
